inputActionName;inputActionControlPath;duration;startTime;time;value;valueType;phase;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;16,9790786000012;16,9790786000012;1;System.Single;Performed;(1.3, 1.1, -48.1);3410e9b2-880d-4bbf-ad5f-3841da134e8b;1;5;5;08.31.2021 19:14:30.643
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;17,4821534000002;17,4821534000002;1;System.Single;Performed;(2.4, 1.1, -55.4);0d052070-f69e-46a3-bccb-2d14f8123a08;1;5;5;08.31.2021 19:14:31.144
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;18,0121744000062;18,0121744000062;1;System.Single;Performed;(3.9, 1.1, -62.1);9733710b-045a-4272-ad33-15762348f30b;1;5;5;08.31.2021 19:14:31.674
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;19,2939060999997;19,2939060999997;1;System.Single;Performed;(5.1, 1.0, -66.1);72024b53-b903-439c-be38-31bfe512aa2c;1;5;5;08.31.2021 19:14:32.955
Select;/HTCViveControllerOpenXR1/grippressed;0;23,1209993000011;23,1209993000011;1;System.Single;Performed;(4.6, 1.0, -68.3);71671ee3-940c-4d5c-85a9-4028e2c51d1c;1;5;5;08.31.2021 19:14:36.782
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;25,0244232000041;25,0244232000041;1;System.Single;Performed;(3.9, 1.0, -68.3);749a329d-b279-453a-977f-1dd83bf3d326;1;5;5;08.31.2021 19:14:38.686
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;25,6095828000034;25,6095828000034;1;System.Single;Performed;(-3.9, 1.0, -66.4);22e60dcd-eca8-48c1-8439-5ae9c54624e5;1;5;5;08.31.2021 19:14:39.271
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;26,0996396000046;26,0996396000046;1;System.Single;Performed;(-10.4, 1.0, -65.6);9e71e76b-9758-41a0-ab6a-e5c9e1a02868;1;5;5;08.31.2021 19:14:39.760
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;26,7095559000009;26,7095559000009;1;System.Single;Performed;(-14.9, 1.0, -64.6);2a366e54-1de9-4a42-b363-70e9a8e58d43;1;5;5;08.31.2021 19:14:40.371
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;27,5312124000047;27,5312124000047;1;System.Single;Performed;(-18.4, 1.1, -61.5);05c87789-8cef-484d-8c4a-5ae9c142afb5;1;5;5;08.31.2021 19:14:41.193
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;28,0643985999995;28,0643985999995;1;System.Single;Performed;(-16.3, 1.0, -54.5);15f0ba3e-2e5a-4677-b65a-c52b30325235;1;5;5;08.31.2021 19:14:41.726
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;28,7745216000039;28,7745216000039;1;System.Single;Performed;(-17.3, 1.0, -50.0);d2ed069b-792e-4277-be5b-a653ed137313;1;5;5;08.31.2021 19:14:42.435
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;29,3086464000007;29,3086464000007;1;System.Single;Performed;(-23.5, 1.0, -47.4);8db2e84e-0131-4a5b-9174-67a756f5f172;1;5;5;08.31.2021 19:14:42.971
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;30,3107450000025;30,3107450000025;1;System.Single;Performed;(-27.3, 1.0, -42.6);29916da0-ce8e-48f7-a64d-62e0c2162790;1;5;5;08.31.2021 19:14:43.972
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;31,6736129000055;31,6736129000055;1;System.Single;Performed;(-21.2, 1.1, -41.0);0f01626b-17d3-42f2-b06f-ddd6e7f88819;1;5;5;08.31.2021 19:14:45.335
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;32,1412813999996;32,1412813999996;1;System.Single;Performed;(-28.5, 1.0, -41.5);0fba8fa7-6b0e-4e9f-b3d5-5c0130f0ef8e;1;5;5;08.31.2021 19:14:45.803
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;33,2381359999999;33,2381359999999;1;System.Single;Performed;(-33.7, 1.1, -42.6);e9391269-9448-4215-b602-984929e0803e;1;5;5;08.31.2021 19:14:46.899
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;34,0155860000013;34,0155860000013;1;System.Single;Performed;(-26.2, 1.0, -42.9);56bee237-3a6d-4b38-bd44-a6d1c9624edb;1;5;5;08.31.2021 19:14:47.676
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;34,7509504000045;34,7509504000045;1;System.Single;Performed;(-28.0, 1.0, -48.5);0432cb63-4bb4-4eba-9009-2b6b466911f0;1;5;5;08.31.2021 19:14:48.412
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;36,2263575000034;36,2263575000034;1;System.Single;Performed;(-32.4, 1.0, -52.2);c0b3db55-4e01-4fe6-9140-4cfa9c4705db;1;5;5;08.31.2021 19:14:49.888
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;37,1592712000056;37,1592712000056;1;System.Single;Performed;(-34.5, 1.0, -58.6);e90792c9-9bdb-4ff3-8c76-314f54163689;1;5;5;08.31.2021 19:14:50.820
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;39,7619851000054;39,7619851000054;1;System.Single;Performed;(-32.9, 1.0, -53.9);261f253b-e3ab-4006-b400-56ffefb03a67;1;5;5;08.31.2021 19:14:53.423
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;40,9268229000008;40,9268229000008;1;System.Single;Performed;(-27.1, 1.0, -53.5);aad040f2-ed5b-4064-b752-9f73f15d0bd4;1;5;5;08.31.2021 19:14:54.588
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;42,5051600000006;42,5051600000006;1;System.Single;Performed;(-25.6, 1.0, -56.6);a43c20e2-ce91-40cf-8b78-e4dc660a4150;1;5;5;08.31.2021 19:14:56.166
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;44,0009716000059;44,0009716000059;1;System.Single;Performed;(-26.6, 1.0, -59.5);352cde38-cadd-453d-8e9b-bc9b4a38d48e;1;5;5;08.31.2021 19:14:57.663
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;44,6037739000021;44,6037739000021;1;System.Single;Performed;(-23.5, 1.0, -63.6);b3632027-3631-409e-b8ca-7185b3e6eaa6;1;5;5;08.31.2021 19:14:58.265
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;45,0565299000009;45,0565299000009;1;System.Single;Performed;(-17.6, 1.0, -64.8);beaa6176-2b35-4977-b41b-a85cf38af21d;1;5;5;08.31.2021 19:14:58.717
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;45,515110100001;45,515110100001;1;System.Single;Performed;(-11.4, 1.0, -66.5);3bdd7aee-fd6d-4faf-bf8a-dec53cd2268c;1;5;5;08.31.2021 19:14:59.176
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;46,1225432000065;46,1225432000065;1;System.Single;Performed;(-4.2, 1.0, -68.9);69031a17-e3af-4317-bb5e-98b8bdff1db8;1;5;5;08.31.2021 19:14:59.784
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;47,2320097000047;47,2320097000047;1;System.Single;Performed;(-1.8, 1.0, -73.4);f74f777a-03dc-4f57-8a77-2a9ddb164100;1;5;5;08.31.2021 19:15:00.893
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;47,7889443000022;47,7889443000022;1;System.Single;Performed;(-8.3, 1.0, -79.0);38cdc827-4cef-47de-b7a8-8664ba5b0a6c;1;5;5;08.31.2021 19:15:01.450
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;48,3339813000057;48,3339813000057;1;System.Single;Performed;(-15.8, 1.0, -81.4);8e9ad91a-cf07-416d-9994-d913ccc8bc82;1;5;5;08.31.2021 19:15:01.995
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;48,9197364000065;48,9197364000065;1;System.Single;Performed;(-20.3, 1.0, -82.5);8514dc63-3cb7-4ebf-8ef1-5193a84e30fb;1;5;5;08.31.2021 19:15:02.581
Select;/HTCViveControllerOpenXR/grippressed;0;50,0317232000016;50,0317232000016;1;System.Single;Performed;(-22.1, 1.0, -83.6);81ea10a1-235d-496d-af9e-39d140d28e73;1;5;5;08.31.2021 19:15:03.693
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;50,9528254000033;50,9528254000033;1;System.Single;Performed;(-22.6, 1.0, -83.4);0f376be1-a48a-455c-b7fb-a3d207bc50bd;1;5;5;08.31.2021 19:15:04.614
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;51,7339358000027;51,7339358000027;1;System.Single;Performed;(-29.1, 1.0, -83.6);8e272922-cd32-4f21-8c89-5eb879102b96;1;5;5;08.31.2021 19:15:05.395
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;52,5107441;52,5107441;1;System.Single;Performed;(-34.7, 1.0, -88.3);7633a5ae-fc75-416e-bfd2-cf4054f6f138;1;5;5;08.31.2021 19:15:06.172
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;53,0068998999996;53,0068998999996;1;System.Single;Performed;(-34.4, 1.0, -94.7);853c5349-19bd-4b7b-a481-a049cb1cdea7;1;5;5;08.31.2021 19:15:06.668
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;53,4768773000033;53,4768773000033;1;System.Single;Performed;(-32.1, 1.0, -99.6);fa6b86de-107e-43a8-a86a-d770d5106574;1;5;5;08.31.2021 19:15:07.138
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;54,0290118000048;54,0290118000048;1;System.Single;Performed;(-29.0, 0.9, -102.7);4ae5dccf-bf96-48bf-a3b6-1b70b504b867;1;5;5;08.31.2021 19:15:07.690
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;54,5506545000026;54,5506545000026;1;System.Single;Performed;(-27.1, 1.0, -103.8);c92c5ead-36c5-44fc-a506-39ba226e3e6c;1;5;5;08.31.2021 19:15:08.212
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;56,3317438000013;56,3317438000013;1;System.Single;Performed;(-21.9, 1.8, -100.1);a2d6b15e-a454-4aa4-b53e-2ce3fc54a699;1;5;5;08.31.2021 19:15:09.993
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;57,4172495000021;57,4172495000021;1;System.Single;Performed;(-28.9, 1.0, -104.7);733e1822-e5cc-407c-aac7-b78a7ed53dbc;1;5;5;08.31.2021 19:15:11.078
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;58,230579300005;58,230579300005;1;System.Single;Performed;(-31.6, 1.1, -97.7);c39b26b6-710c-4fea-9ee4-0976d3cdfce0;1;5;5;08.31.2021 19:15:11.892
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;60,1705016000051;60,1705016000051;1;System.Single;Performed;(-33.9, 1.0, -90.0);9ced9143-5f38-471a-afb9-6c23d034b654;1;5;5;08.31.2021 19:15:13.832
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;61,1805139999997;61,1805139999997;1;System.Single;Performed;(-26.9, 1.0, -86.8);cf3ecc1d-929d-4684-87e7-5e21a91d55e8;1;5;5;08.31.2021 19:15:14.842
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;61,8168126000019;61,8168126000019;1;System.Single;Performed;(-26.9, 1.0, -86.9);6b3a1729-bd5a-44d0-9a8b-f5ce18854500;1;5;5;08.31.2021 19:15:15.478
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;62,5385303000003;62,5385303000003;1;System.Single;Performed;(-21.3, 1.0, -88.2);485ef2e2-f166-4e4e-8ad2-484fb69c0fa4;1;5;5;08.31.2021 19:15:16.200
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;62,9696551000015;62,9696551000015;1;System.Single;Performed;(-15.9, 1.0, -91.9);9dfdf425-fa00-47e9-9ce0-a00d0cf5084b;1;5;5;08.31.2021 19:15:16.631
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;63,4792950000046;63,4792950000046;1;System.Single;Performed;(-11.7, 1.0, -94.9);2cb6e98c-8a92-43e4-b599-3ac7f34522d4;1;5;5;08.31.2021 19:15:17.140
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;64,0608552000049;64,0608552000049;1;System.Single;Performed;(-8.4, 0.9, -97.2);ef35765e-332b-41b3-a40c-dd9a0d84fed3;1;5;5;08.31.2021 19:15:17.722
Select;/HTCViveControllerOpenXR/grippressed;0;65,0462098000062;65,0462098000062;1;System.Single;Performed;(-7.5, 1.0, -97.2);72db83d2-15fb-4702-8ec8-ab5e4716e481;1;5;5;08.31.2021 19:15:18.708
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;65,7260606000054;65,7260606000054;1;System.Single;Performed;(-7.2, 1.0, -97.7);677fc18b-694c-44ea-8036-2027d17db7a1;1;5;5;08.31.2021 19:15:19.387
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;66,2133872000049;66,2133872000049;1;System.Single;Performed;(0.9, 1.0, -98.9);cf591ed2-2416-455a-af07-07dcf11305c9;1;5;5;08.31.2021 19:15:19.875
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;66,8026852000039;66,8026852000039;1;System.Single;Performed;(8.2, 1.0, -101.6);046429f7-8958-4e07-b9f4-f9e0a53f56f3;1;5;5;08.31.2021 19:15:20.465
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;69,4250816000058;69,4250816000058;1;System.Single;Performed;(14.4, 1.0, -103.2);586ea253-2919-4899-8dbf-c4c68028a45f;1;5;5;08.31.2021 19:15:23.087
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;70,2892663000021;70,2892663000021;1;System.Single;Performed;(18.0, 1.0, -102.9);e00f4d4c-8eb3-4f0e-9a4f-c42bcdff501e;1;5;5;08.31.2021 19:15:23.951
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;70,9208702000033;70,9208702000033;1;System.Single;Performed;(19.2, 1.0, -100.8);f8bcd3aa-b172-4c1a-80cf-4a7cffad51e6;1;5;5;08.31.2021 19:15:24.582
Select;/HTCViveControllerOpenXR/grippressed;0;71,8233614000055;71,8233614000055;1;System.Single;Performed;(19.4, 1.0, -99.8);caa933a3-b568-4e14-98e6-b079826ba25c;1;5;5;08.31.2021 19:15:25.485
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;17,2835715999972;17,2835715999972;1;System.Single;Performed;(1.9, 1.1, -41.7);7edb1ea4-356a-4a89-95e4-ab5e7a31645b;2;5;5;08.31.2021 19:16:01.765
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;18,5734165999966;18,5734165999966;1;System.Single;Performed;(3.9, 1.1, -49.1);3da4502e-4f45-46f9-a1d7-39842b5e21c8;2;5;5;08.31.2021 19:16:03.043
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;22,2410013999979;22,2410013999979;1;System.Single;Performed;(2.9, 1.0, -56.2);584c518f-a577-4ff9-9ece-8b6585f1a87e;2;5;5;08.31.2021 19:16:06.710
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;22,8822316000005;22,8822316000005;1;System.Single;Performed;(8.8, 1.0, -53.8);88b8d767-a0a7-4646-b5dc-c66f406e4af7;2;5;5;08.31.2021 19:16:07.352
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;23,5507365999947;23,5507365999947;1;System.Single;Performed;(14.2, 1.0, -50.7);c3285832-fd1a-46ff-8100-fd0cddf4df1c;2;5;5;08.31.2021 19:16:08.020
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;24,5260615999941;24,5260615999941;1;System.Single;Performed;(20.0, 1.0, -48.5);61444272-1f0f-413f-b011-462820a6f85a;2;5;5;08.31.2021 19:16:08.995
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;26,7366872999992;26,7366872999992;1;System.Single;Performed;(23.9, 1.0, -47.6);56552511-d30e-41ba-97b2-bb4c07dee345;2;5;5;08.31.2021 19:16:11.205
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;27,5262905999989;27,5262905999989;1;System.Single;Performed;(28.1, 1.0, -50.5);de52ea62-6e53-444f-aaa1-661cbe5a3dc6;2;5;5;08.31.2021 19:16:11.995
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;28,8796461999955;28,8796461999955;1;System.Single;Performed;(32.1, 1.0, -54.2);3151d393-b505-4540-99a2-6eff224caf72;2;5;5;08.31.2021 19:16:13.349
Select;/HTCViveControllerOpenXR/grippressed;0;30,3566273999968;30,3566273999968;1;System.Single;Performed;(35.4, 1.0, -57.2);9b8feb8d-2cdb-48bb-acce-05a61aba17bf;2;5;5;08.31.2021 19:16:14.826
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;31,2077929999941;31,2077929999941;1;System.Single;Performed;(34.9, 1.0, -56.8);816e8e9c-3587-48b0-9c65-6bffd9d82b2f;2;5;5;08.31.2021 19:16:15.678
