hmdPosition;hmdRotation;gazePosition;gazeRotation;focusedObjectName;leftControllerPosition;leftControllerRotation;rightControllerPosition;rightControllerRotation;hmdTransformRotation;leftControllerTransformPosition;leftControllerTransformRotation;rightControllerTransformPosition;rightControllerTransformRotation;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
(1.1, 1.7, -0.5);(0.0, -1.0, 0.0, 0.0);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.8, 0.0, 0.3);(0.9, 0.9, -0.6);(-0.1, -1.0, 0.2, -0.1);(0.0, -1.0, 0.0, 0.0);(2.3, 0.8, -41.6);(0.5, -0.8, 0.0, 0.3);(1.9, 0.9, -41.8);(-0.1, -1.0, 0.2, -0.1);(2.1, 1.7, -41.7);581115ce-b872-4f84-b183-be5f4e60c6cc;1;1;1;08.31.2021 18:53:31.182
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.1);;;rock_14;(1.3, 0.8, -0.4);(0.5, -0.8, -0.1, 0.4);(0.9, 0.9, -0.6);(-0.1, -1.0, 0.1, 0.0);(0.0, -1.0, 0.0, 0.1);(2.3, 0.8, -41.6);(0.5, -0.8, -0.1, 0.4);(1.9, 0.9, -41.8);(-0.1, -1.0, 0.1, 0.0);(2.1, 1.7, -41.7);e86e9a2c-9322-4ad6-9adb-39789391ca47;1;1;1;08.31.2021 18:53:31.221
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.1);;;rock_14;(1.3, 0.8, -0.4);(0.5, -0.8, -0.1, 0.4);(0.9, 0.9, -0.6);(0.0, -1.0, 0.1, 0.1);(0.0, -1.0, 0.0, 0.1);(2.3, 0.8, -41.6);(0.5, -0.8, -0.1, 0.4);(1.9, 0.9, -41.8);(0.0, -1.0, 0.1, 0.1);(2.1, 1.7, -41.6);9dd4b7e7-cacb-4ae1-90b9-98a581198cdd;1;1;1;08.31.2021 18:53:31.257
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.2);;;rock_16;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.5);(0.0, -1.0, 0.1, 0.1);(0.0, -1.0, 0.0, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.8);(0.0, -1.0, 0.1, 0.1);(2.1, 1.7, -41.6);d7a7969d-9f6c-4b69-8a3d-8387dfdba3c6;1;1;1;08.31.2021 18:53:31.290
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.2);;;rock_16;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.5);(0.0, -1.0, 0.1, 0.1);(0.0, -1.0, 0.0, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.7);(0.0, -1.0, 0.1, 0.1);(2.1, 1.7, -41.6);72603b0c-8c17-43db-90ec-5dcd31a5a094;1;1;1;08.31.2021 18:53:31.324
(1.1, 1.7, -0.4);(0.0, -1.0, 0.1, 0.2);;;rock_16;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.5);(0.0, -1.0, 0.1, 0.2);(0.0, -1.0, 0.1, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.7);(0.0, -1.0, 0.1, 0.2);(2.1, 1.7, -41.6);bae01b5d-1f24-4477-9a88-7bf357d4fab2;1;1;1;08.31.2021 18:53:31.357
(1.1, 1.7, -0.4);(0.0, -1.0, 0.1, 0.2);;;rock_16;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.5);(0.0, -1.0, 0.1, 0.2);(0.0, -1.0, 0.1, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.7);(0.0, -1.0, 0.1, 0.2);(2.1, 1.7, -41.6);ec2a5024-8291-4e4e-8c90-71e8649146fb;1;1;1;08.31.2021 18:53:31.392
(1.1, 1.7, -0.4);(0.0, -1.0, 0.1, 0.2);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.5);(0.0, -1.0, 0.1, 0.3);(0.0, -1.0, 0.1, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.7);(0.0, -1.0, 0.1, 0.3);(2.1, 1.7, -41.6);713bcfb4-b9b7-4e2a-ab97-a46ceb4302a9;1;1;1;08.31.2021 18:53:31.434
(1.1, 1.7, -0.4);(0.0, -1.0, 0.1, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.5);(0.0, -1.0, 0.1, 0.3);(0.0, -1.0, 0.1, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.7);(0.0, -1.0, 0.1, 0.3);(2.1, 1.7, -41.6);8629c5e1-59e3-447d-b920-aab3e50ec44b;1;1;1;08.31.2021 18:53:31.468
(1.1, 1.7, -0.4);(0.0, -1.0, 0.1, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.5);(0.0, -1.0, 0.1, 0.3);(0.0, -1.0, 0.1, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.7);(0.0, -1.0, 0.1, 0.3);(2.1, 1.7, -41.6);b63f6643-afa3-4577-a50d-4f04a69f2f2a;1;1;1;08.31.2021 18:53:31.501
(1.1, 1.7, -0.4);(0.0, -1.0, 0.1, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.5);(0.0, -1.0, 0.1, 0.3);(0.0, -1.0, 0.1, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.7);(0.0, -1.0, 0.1, 0.3);(2.1, 1.7, -41.6);10184dd2-6c76-4ac9-98d2-7ba0b58fdd1e;1;1;1;08.31.2021 18:53:31.535
(1.1, 1.7, -0.4);(0.0, -1.0, 0.1, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.5);(0.0, -1.0, 0.1, 0.3);(0.0, -1.0, 0.1, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.7);(0.0, -1.0, 0.1, 0.3);(2.1, 1.7, -41.6);479c61c1-5ce3-4e5a-8646-e1d25500633f;1;1;1;08.31.2021 18:53:31.568
(1.1, 1.7, -0.4);(0.0, -0.9, 0.1, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.4);(0.0, -0.9, 0.1, 0.3);(0.0, -0.9, 0.1, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.7);(0.0, -0.9, 0.1, 0.3);(2.1, 1.7, -41.6);24682131-a443-4d2a-9216-bfa70d1b86c9;1;1;1;08.31.2021 18:53:31.601
(1.1, 1.7, -0.4);(0.0, -0.9, 0.1, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.4);(0.0, -0.9, 0.1, 0.3);(0.0, -0.9, 0.1, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.6);(0.0, -0.9, 0.1, 0.3);(2.1, 1.7, -41.6);821af706-0639-4e5b-aee2-4520eef58505;1;1;1;08.31.2021 18:53:31.635
(1.1, 1.7, -0.4);(0.0, -0.9, 0.1, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.4);(0.0, -0.9, 0.1, 0.3);(0.0, -0.9, 0.1, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.6);(0.0, -0.9, 0.1, 0.3);(2.1, 1.7, -41.6);773863ab-5874-4819-996d-1c53b2161f30;1;1;1;08.31.2021 18:53:31.669
(1.1, 1.7, -0.4);(0.0, -0.9, 0.1, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.4);(0.0, -0.9, 0.1, 0.3);(0.0, -0.9, 0.1, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.6);(0.0, -0.9, 0.1, 0.3);(2.1, 1.7, -41.6);2161f073-b097-4ef6-b108-36495fc8f787;1;1;1;08.31.2021 18:53:31.703
(1.1, 1.7, -0.4);(0.0, -0.9, 0.1, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.4);(0.0, -1.0, 0.1, 0.3);(0.0, -0.9, 0.1, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.6);(0.0, -1.0, 0.1, 0.3);(2.1, 1.7, -41.6);d72d233e-ca0b-4da7-8d3e-9e971fd8b09f;1;1;1;08.31.2021 18:53:31.789
(1.1, 1.7, -0.4);(0.0, -0.9, 0.2, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.4);(0.0, -1.0, 0.1, 0.2);(0.0, -0.9, 0.2, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.6);(0.0, -1.0, 0.1, 0.2);(2.1, 1.7, -41.6);4ba0c5f9-279f-4d98-8741-ea85ceca6268;1;1;1;08.31.2021 18:53:31.827
(1.1, 1.7, -0.4);(0.0, -1.0, 0.2, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.4);(0.0, -1.0, 0.1, 0.2);(0.0, -1.0, 0.2, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.6);(0.0, -1.0, 0.1, 0.2);(2.1, 1.7, -41.6);89fd5a3c-f7bd-4f13-b36d-e6a4aee2703c;1;1;1;08.31.2021 18:53:31.866
(1.1, 1.7, -0.4);(0.0, -1.0, 0.2, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.5);(0.9, 0.9, -0.4);(0.0, -1.0, 0.1, 0.2);(0.0, -1.0, 0.2, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.5);(1.9, 0.9, -41.6);(0.0, -1.0, 0.1, 0.2);(2.1, 1.7, -41.6);b52fb0d4-653b-4b71-a8d2-a7a554ce3d9b;1;1;1;08.31.2021 18:53:31.902
(1.1, 1.7, -0.4);(0.0, -1.0, 0.2, 0.3);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.2, 0.5);(0.9, 0.9, -0.4);(0.0, -1.0, 0.1, 0.2);(0.0, -1.0, 0.2, 0.3);(2.3, 0.8, -41.6);(0.5, -0.7, -0.2, 0.5);(1.9, 0.9, -41.6);(0.0, -1.0, 0.1, 0.2);(2.1, 1.7, -41.6);ad0e98e8-ffa1-4910-b15a-1629c7098944;1;1;1;08.31.2021 18:53:31.936
(1.1, 1.7, -0.4);(0.0, -1.0, 0.2, 0.2);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.2, 0.5);(0.9, 0.9, -0.4);(0.0, -1.0, 0.1, 0.2);(0.0, -1.0, 0.2, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.2, 0.5);(1.9, 0.9, -41.6);(0.0, -1.0, 0.1, 0.2);(2.1, 1.7, -41.6);91c45b71-9a8b-4d70-a08f-a75f0c879149;1;1;1;08.31.2021 18:53:31.968
(1.1, 1.7, -0.4);(0.0, -1.0, 0.2, 0.2);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.4);(0.0, -1.0, 0.2, 0.2);(0.0, -1.0, 0.2, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.6);(0.0, -1.0, 0.2, 0.2);(2.1, 1.7, -41.6);7b633e6b-d3a5-4dbb-95b8-f605f355d9a7;1;1;1;08.31.2021 18:53:32.007
(1.1, 1.7, -0.4);(0.0, -1.0, 0.2, 0.2);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.4);(0.0, -1.0, 0.2, 0.2);(0.0, -1.0, 0.2, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.6);(0.0, -1.0, 0.2, 0.2);(2.1, 1.7, -41.6);5afadda9-6c63-4200-ae65-a46d4c381905;1;1;1;08.31.2021 18:53:32.045
(1.1, 1.7, -0.3);(0.0, -1.0, 0.1, 0.2);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.4);(0.0, -1.0, 0.2, 0.2);(0.0, -1.0, 0.1, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.6);(0.0, -1.0, 0.2, 0.2);(2.1, 1.7, -41.6);568e38b0-f0f8-434f-acdb-9dd587a31f61;1;1;1;08.31.2021 18:53:32.079
(1.1, 1.7, -0.3);(0.0, -1.0, 0.1, 0.2);;;Ground_small_75x75;(1.3, 0.8, -0.4);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.4);(0.0, -1.0, 0.2, 0.2);(0.0, -1.0, 0.1, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.6);(0.0, -1.0, 0.2, 0.2);(2.1, 1.7, -41.6);8606ce7a-f3a6-48dc-8d69-0ac8740312e0;1;1;1;08.31.2021 18:53:32.113
(1.1, 1.7, -0.3);(0.0, -1.0, 0.1, 0.2);;;Ground_small_75x75;(1.3, 0.8, -0.3);(0.5, -0.7, -0.1, 0.4);(0.9, 0.9, -0.4);(0.0, -1.0, 0.2, 0.1);(0.0, -1.0, 0.1, 0.2);(2.3, 0.8, -41.6);(0.5, -0.7, -0.1, 0.4);(1.9, 0.9, -41.6);(0.0, -1.0, 0.2, 0.1);(2.1, 1.7, -41.6);98bceb16-17bb-4055-8ebf-c43427432d60;1;1;1;08.31.2021 18:53:32.157
