transformId;rotation;scale;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Sheep;(0.0, -0.6, 0.0, -0.8);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);d5c22e7d-0409-453c-8e24-df56f13cd712;1;4;4;08.31.2021 19:03:37.572
Sheep;(0.0, -0.8, 0.0, -0.6);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);c8033e55-fb78-4ea1-9f1d-d37ddfca0652;1;4;4;08.31.2021 19:03:37.617
Sheep;(0.0, -0.9, 0.0, -0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);3cc6a16c-374b-490c-a566-d6b6bdd80119;1;4;4;08.31.2021 19:03:37.660
Sheep;(0.0, -1.0, 0.0, -0.3);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);cdb5de63-fa5f-4136-af29-8937a3d593e2;1;4;4;08.31.2021 19:03:37.694
Sheep;(0.0, -1.0, 0.0, -0.2);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);108b4daa-cb69-4d1d-8fb1-782f5278d2a8;1;4;4;08.31.2021 19:03:37.727
Sheep;(0.0, -1.0, 0.0, 0.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);daf37b0a-1aad-4fb1-abfa-b98f0c9693ed;1;4;4;08.31.2021 19:03:37.760
Sheep;(0.0, -1.0, 0.0, 0.1);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);579471cf-3307-4679-83fb-04d81089fa6c;1;4;4;08.31.2021 19:03:37.796
Sheep;(0.0, -1.0, 0.0, 0.3);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);39e77b25-ed25-47a3-8142-20f09dc6144d;1;4;4;08.31.2021 19:03:37.840
Sheep;(0.0, -0.9, 0.0, 0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);8edd58f9-fda4-438a-a175-848c9c294aea;1;4;4;08.31.2021 19:03:37.873
Sheep;(0.0, -0.8, 0.0, 0.5);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);2210a35e-f85c-4a5a-b14f-def074d65a27;1;4;4;08.31.2021 19:03:37.906
Sheep;(0.0, -0.7, 0.0, 0.7);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);3ea41d87-9fed-4a43-a34a-76c98e0ab974;1;4;4;08.31.2021 19:03:37.940
Sheep;(0.0, -0.6, 0.0, 0.8);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);765f1d54-a276-43c3-bb1a-5a3accf1aa10;1;4;4;08.31.2021 19:03:37.973
Sheep;(0.0, -0.4, 0.0, 0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);7b7ac36e-c381-4f72-aa65-d7a4dccc138b;1;4;4;08.31.2021 19:03:38.007
Sheep;(0.0, -0.3, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);3e83a60f-2119-42c0-93f8-ef6a13564646;1;4;4;08.31.2021 19:03:38.041
Sheep;(0.0, -0.1, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);1241a886-387b-4d0b-831b-fe014cf04ac7;1;4;4;08.31.2021 19:03:38.075
Sheep;(0.0, 0.0, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);6ac0fd71-0e61-4249-9009-9901f8046931;1;4;4;08.31.2021 19:03:38.109
Sheep;(0.0, 0.0, 0.0, 1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);87e83c2a-0b93-471c-b8a1-0959e7588bca;1;4;4;08.31.2021 19:03:38.142
Sheep;(0.0, 0.0, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);f85fe6a4-d6cc-44c2-a83e-f2e2b393e5d6;1;4;4;08.31.2021 19:03:38.176
Sheep;(0.0, -0.1, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);85006bb4-a715-4130-8217-50880c155fe4;1;4;4;08.31.2021 19:03:38.209
Sheep;(0.0, -0.3, 0.0, -1.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4cbbcb5c-e2f9-4077-b04e-0e1470e585c3;1;4;4;08.31.2021 19:03:38.242
Sheep;(0.0, -0.4, 0.0, -0.9);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4e624fc2-6b9d-48e7-97ce-76cf15720b3c;1;4;4;08.31.2021 19:03:38.276
Sheep;(0.0, -0.6, 0.0, -0.8);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);aebf05c6-ad7b-4ff4-ac84-3c3ece016449;1;4;4;08.31.2021 19:03:38.309
Sheep;(0.0, -0.7, 0.0, -0.7);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);bad575e1-4668-46a1-8db0-c797bda5988a;1;4;4;08.31.2021 19:03:38.342
Sheep;(0.0, -0.8, 0.0, -0.6);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);567a4b21-00c4-47a5-bf81-3d8838aea7c9;1;4;4;08.31.2021 19:03:38.375
Sheep;(0.0, -0.9, 0.0, -0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);4ed80d70-579e-41b4-965a-022d9d9be018;1;4;4;08.31.2021 19:03:38.409
Sheep;(0.0, -1.0, 0.0, -0.3);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);3054b8ff-91a5-4fdc-890c-407219baca65;1;4;4;08.31.2021 19:03:38.442
Sheep;(0.0, -1.0, 0.0, -0.2);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);f19bf6d5-9391-49c4-a54a-9a9fc122e13d;1;4;4;08.31.2021 19:03:38.475
Sheep;(0.0, -1.0, 0.0, 0.0);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);3a03fd9b-5aa4-4691-852c-c60b7ab26022;1;4;4;08.31.2021 19:03:38.509
Sheep;(0.0, -1.0, 0.0, 0.1);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);36906b7f-9ec3-4038-8915-0c88e608ffe9;1;4;4;08.31.2021 19:03:38.542
Sheep;(0.0, -1.0, 0.0, 0.3);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);a3bb523b-2b78-44a1-b75c-fe21cd920207;1;4;4;08.31.2021 19:03:38.587
Sheep;(0.0, -0.9, 0.0, 0.4);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);53280bc7-53b7-4f04-8e34-8fb7fdaff425;1;4;4;08.31.2021 19:03:38.619
Sheep;(0.0, -0.8, 0.0, 0.5);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);8663fcfe-6943-457e-a4b9-302b32b91d32;1;4;4;08.31.2021 19:03:38.653
Sheep;(0.0, -0.7, 0.0, 0.7);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);98423f7a-1047-4789-97fa-cb6998ceb6bc;1;4;4;08.31.2021 19:03:38.697
Sheep;(0.0, -0.6, 0.0, 0.8);(0.7, 0.7, 0.7);(5.7, 0.0, -67.5);ee9d6a90-fbf0-4fbc-8183-661a69c84a36;1;4;4;08.31.2021 19:03:38.731
