inputActionName;inputActionControlPath;duration;startTime;time;value;valueType;phase;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;17,1334864000019;17,1334864000019;1;System.Single;Performed;(1.9, 0.9, -41.5);e9d08ecc-7bed-4acf-8b8e-41f813762a3e;1;4;4;08.31.2021 19:03:37.186
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;18,9559894999984;18,9559894999984;1;System.Single;Performed;(-0.1, 0.9, -41.8);2be26a37-51aa-424a-a5a1-ed7ede9a34fe;1;4;4;08.31.2021 19:03:38.997
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;19,7885003999982;19,7885003999982;1;System.Single;Performed;(4.3, 0.9, -41.0);f802375d-664c-4666-bf51-5aa1d310ecb5;1;4;4;08.31.2021 19:03:39.829
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;20,4109721999994;20,4109721999994;1;System.Single;Performed;(8.3, 0.9, -40.7);4354cc20-e3f2-4f38-9582-41f40a7ccdbb;1;4;4;08.31.2021 19:03:40.451
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;22,2506881000008;22,2506881000008;1;System.Single;Performed;(14.0, 0.9, -41.5);e206f581-8c70-459e-91b1-11c907d22092;1;4;4;08.31.2021 19:03:42.291
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;23,5531252000001;23,5531252000001;1;System.Single;Performed;(10.7, 1.0, -40.8);2bb4aefa-c9fa-4cf4-869d-7a0ad2ee60cd;1;4;4;08.31.2021 19:03:43.594
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;24,110360300001;24,110360300001;1;System.Single;Performed;(17.3, 1.0, -42.4);bcd10b02-5b8f-432d-9411-a3a41751352a;1;4;4;08.31.2021 19:03:44.151
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;25,4825739000007;25,4825739000007;1;System.Single;Performed;(22.9, 1.0, -44.2);515efb71-d1a8-40a9-ac91-d61d9deb13c8;1;4;4;08.31.2021 19:03:45.523
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;28,2734968000004;28,2734968000004;1;System.Single;Performed;(27.1, 1.0, -48.2);85599435-7c95-4ac7-8527-fc7d428d0daa;1;4;4;08.31.2021 19:03:48.314
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;29,0963506999979;29,0963506999979;1;System.Single;Performed;(31.0, 1.0, -53.2);09eb660e-1b51-4887-af46-e422934b2beb;1;4;4;08.31.2021 19:03:49.137
