inputActionName;inputActionControlPath;duration;startTime;time;value;valueType;phase;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;16,8840892000007;16,8840892000007;1;System.Single;Performed;(2.4, 0.9, -48.2);c52cc31e-5889-4edb-9cc8-77e0c583dfe8;1;2;2;08.31.2021 18:57:27.610
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;17,7457330999969;17,7457330999969;1;System.Single;Performed;(2.8, 0.9, -54.6);798966f4-5834-427d-9f1c-851229c5dc43;1;2;2;08.31.2021 18:57:28.468
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;18,4112762000004;18,4112762000004;1;System.Single;Performed;(4.0, 0.9, -60.1);4d9b2dbd-d3c4-4995-840d-00524a5e03ef;1;2;2;08.31.2021 18:57:29.134
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;19,0905480000001;19,0905480000001;1;System.Single;Performed;(5.7, 0.9, -64.7);1e824f82-0043-473f-84fe-92f12ab5a1aa;1;2;2;08.31.2021 18:57:29.813
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;20,3038698000018;20,3038698000018;1;System.Single;Performed;(6.3, 0.9, -66.2);b014cb4e-3abd-4be9-a7be-f5b48c985b65;1;2;2;08.31.2021 18:57:31.026
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;21,2688410999981;21,2688410999981;1;System.Single;Performed;(7.5, 0.9, -67.3);c75d94dd-aa6b-4935-a60e-d18531a55fb3;1;2;2;08.31.2021 18:57:31.991
Select;/HTCViveControllerOpenXR1/grippressed;0;23,7563777000032;23,7563777000032;1;System.Single;Performed;(6.2, 1.2, -67.8);b5341915-8c0a-4d15-8b50-efa2ccdce21f;1;2;2;08.31.2021 18:57:34.479
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;25,3051192999992;25,3051192999992;1;System.Single;Performed;(6.2, 1.1, -68.0);1b3f8234-e117-4dd1-8d86-3ef703fd0b61;1;2;2;08.31.2021 18:57:36.027
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;26,2104809000011;26,2104809000011;1;System.Single;Performed;(-0.8, 1.1, -66.8);049edcc7-c4db-450e-9129-d8df1ffcbbc3;1;2;2;08.31.2021 18:57:36.933
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;26,8895160000029;26,8895160000029;1;System.Single;Performed;(-8.7, 1.1, -65.7);97ba3650-7e08-4f2a-bc71-f6cc7c12e64e;1;2;2;08.31.2021 18:57:37.612
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;27,9626220999999;27,9626220999999;1;System.Single;Performed;(-16.9, 1.1, -64.4);78478555-16d6-45d0-9d2d-b5ce64d62f2a;1;2;2;08.31.2021 18:57:38.685
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;29,1776622000034;29,1776622000034;1;System.Single;Performed;(-18.1, 1.1, -60.4);6eef0067-2b40-4d39-bdd0-b33fc8eba191;1;2;2;08.31.2021 18:57:39.900
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;31,105645399999;31,105645399999;1;System.Single;Performed;(-16.5, 1.1, -56.3);7de8ff51-6fd3-4552-813b-830b3e4b088f;1;2;2;08.31.2021 18:57:41.828
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;32,1206019000019;32,1206019000019;1;System.Single;Performed;(-14.9, 1.0, -51.6);61dc69fe-47d6-4229-b6c0-bf525f615b71;1;2;2;08.31.2021 18:57:42.844
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;33,1516725999973;33,1516725999973;1;System.Single;Performed;(-21.2, 1.0, -48.3);830568e3-3c45-45c1-adad-ce31bab02398;1;2;2;08.31.2021 18:57:43.874
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;34,1163433999973;34,1163433999973;1;System.Single;Performed;(-26.3, 1.0, -42.9);89b7f90b-aa0e-4c8a-a986-9c2a3651c7fa;1;2;2;08.31.2021 18:57:44.839
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;36,6358469999977;36,6358469999977;1;System.Single;Performed;(-21.2, 1.0, -41.1);27d866aa-91e6-4f31-b90d-18397bce2003;1;2;2;08.31.2021 18:57:47.358
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;37,5287526000029;37,5287526000029;1;System.Single;Performed;(-29.5, 1.0, -41.3);684b450d-ed9c-470f-92ef-eb5d303c9853;1;2;2;08.31.2021 18:57:48.252
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;38,4020824999971;38,4020824999971;1;System.Single;Performed;(-32.2, 1.1, -42.6);1d8671f1-efa0-4328-b35c-a9085abbcdcb;1;2;2;08.31.2021 18:57:49.125
