hmdPosition;hmdRotation;gazePosition;gazeRotation;focusedObjectName;leftControllerPosition;leftControllerRotation;rightControllerPosition;rightControllerRotation;hmdTransformRotation;leftControllerTransformPosition;leftControllerTransformRotation;rightControllerTransformPosition;rightControllerTransformRotation;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.3, 0.8, -0.3);(0.3, -0.9, 0.2, -0.1);(1.0, 0.9, -0.7);(-0.1, -1.0, 0.1, 0.0);(0.0, -1.0, 0.0, -0.1);(2.3, 0.8, -41.6);(0.3, -0.9, 0.2, -0.1);(2.0, 0.9, -41.9);(-0.1, -1.0, 0.1, 0.0);(2.1, 1.7, -41.6);23b6e0f8-55c9-4173-8f10-1360ad188571;1;2;2;08.31.2021 18:57:26.751
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.0);;;ConstructionSite;(1.3, 0.8, -0.4);(0.3, -0.9, 0.2, -0.1);(1.0, 0.9, -0.6);(0.0, -1.0, 0.1, 0.0);(0.0, -1.0, 0.0, 0.0);(2.3, 0.8, -41.6);(0.3, -0.9, 0.2, -0.1);(2.0, 0.9, -41.9);(0.0, -1.0, 0.1, 0.0);(2.1, 1.7, -41.6);30ccad28-7402-448d-9fe8-8382a837c9a8;1;2;2;08.31.2021 18:57:26.819
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.0);;;rock_25 (1);(1.3, 0.8, -0.4);(0.3, -0.9, 0.2, 0.0);(1.0, 0.9, -0.6);(0.0, -1.0, 0.1, 0.0);(0.0, -1.0, 0.0, 0.0);(2.3, 0.8, -41.6);(0.3, -0.9, 0.2, 0.0);(2.0, 0.9, -41.8);(0.0, -1.0, 0.1, 0.0);(2.1, 1.7, -41.6);147e70bf-9f5c-45b7-9347-f023634dfd20;1;2;2;08.31.2021 18:57:26.857
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.0);;;rock_25 (1);(1.3, 0.8, -0.4);(0.3, -0.9, 0.2, 0.0);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.0);(2.3, 0.8, -41.6);(0.3, -0.9, 0.2, 0.0);(2.0, 0.9, -41.8);(0.0, -1.0, 0.2, 0.0);(2.1, 1.7, -41.6);2e7a0846-f175-4239-8e5c-496a6a2f9abf;1;2;2;08.31.2021 18:57:26.893
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.0);;;rock_25 (1);(1.3, 0.8, -0.4);(0.3, -0.9, 0.2, 0.0);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.0);(2.8, 0.8, -48.1);(0.3, -0.9, 0.2, 0.0);(2.5, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.6, 1.7, -48.1);c3922828-8c77-4c6f-a0a3-6cb031e05381;1;2;2;08.31.2021 18:57:26.935
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.1);;;bush_5 (4);(1.3, 0.8, -0.4);(0.3, -0.9, 0.2, 0.0);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.1);(2.8, 0.8, -48.1);(0.3, -0.9, 0.2, 0.0);(2.5, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.6, 1.7, -48.1);8933401e-a189-43ff-a782-3c1a73ee3f8e;1;2;2;08.31.2021 18:57:26.969
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.1);;;tree_12;(1.3, 0.8, -0.4);(0.3, -0.9, 0.2, 0.0);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.1);(2.8, 0.8, -48.1);(0.3, -0.9, 0.2, 0.0);(2.5, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.6, 1.7, -48.1);6a019727-a176-46ce-847c-c918d0d98197;1;2;2;08.31.2021 18:57:27.006
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.2);;;rock_14;(1.3, 0.8, -0.4);(0.3, -0.9, 0.2, 0.0);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.2);(2.8, 0.8, -48.1);(0.3, -0.9, 0.2, 0.0);(2.5, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.6, 1.7, -48.1);1ece8136-9527-4ae2-97e4-f429a6ceb2d9;1;2;2;08.31.2021 18:57:27.046
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.2);;;rock_14;(1.3, 0.8, -0.4);(0.3, -0.9, 0.1, 0.0);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.2);(2.8, 0.8, -48.1);(0.3, -0.9, 0.1, 0.0);(2.4, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.5, 1.7, -48.1);dcd58ec6-982e-47c7-9acc-b8deee0457d2;1;2;2;08.31.2021 18:57:27.079
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.2);;;rock_14;(1.3, 0.8, -0.4);(0.3, -0.9, 0.1, 0.1);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.2);(2.8, 0.8, -48.1);(0.3, -0.9, 0.1, 0.1);(2.4, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.5, 1.7, -48.1);bdf7d7af-8238-4251-9b16-898beefa2b67;1;2;2;08.31.2021 18:57:27.113
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.2);;;rock_16;(1.3, 0.8, -0.4);(0.3, -0.9, 0.1, 0.1);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.2);(2.8, 0.8, -48.1);(0.3, -0.9, 0.1, 0.1);(2.4, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.5, 1.7, -48.1);e94dd901-1c7e-4bf0-b0f3-a498c9b92aba;1;2;2;08.31.2021 18:57:27.147
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.3);;;rock_16;(1.3, 0.8, -0.4);(0.3, -0.9, 0.1, 0.1);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.3);(2.8, 0.8, -48.1);(0.3, -0.9, 0.1, 0.1);(2.4, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.5, 1.7, -48.1);eee4e3ee-cbe7-42cf-8b5d-b9b01fd4d732;1;2;2;08.31.2021 18:57:27.180
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.3);;;rock_16;(1.3, 0.8, -0.4);(0.3, -0.9, 0.1, 0.1);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.3);(2.8, 0.8, -48.1);(0.3, -0.9, 0.1, 0.1);(2.4, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.5, 1.7, -48.1);811ed4e3-78fa-4b1c-adcd-1b35ba875eff;1;2;2;08.31.2021 18:57:27.213
(1.1, 1.7, -0.4);(0.0, -1.0, 0.0, 0.3);;;rock_16;(1.3, 0.8, -0.4);(0.3, -0.9, 0.1, 0.1);(1.0, 0.9, -0.6);(0.0, -1.0, 0.2, 0.0);(0.0, -1.0, 0.0, 0.3);(2.8, 0.8, -48.1);(0.3, -0.9, 0.1, 0.1);(2.4, 0.9, -48.3);(0.0, -1.0, 0.2, 0.0);(2.5, 1.7, -48.1);dfe28384-7a2f-4b0e-b825-991fe42bfdc2;1;2;2;08.31.2021 18:57:27.246
