hmdPosition;hmdRotation;gazePosition;gazeRotation;focusedObjectName;leftControllerPosition;leftControllerRotation;rightControllerPosition;rightControllerRotation;hmdTransformRotation;leftControllerTransformPosition;leftControllerTransformRotation;rightControllerTransformPosition;rightControllerTransformRotation;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -56.0);9d131adf-141f-4b47-af4a-b13d8262ef35;1;3;3;08.31.2021 19:08:59.405
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -56.0);709a8e7f-7075-4a2e-b946-af0d81b7f06b;1;3;3;08.31.2021 19:08:59.468
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);27464ae4-0910-4f5e-813c-d197a664575f;1;3;3;08.31.2021 19:08:59.508
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);4b9403fa-3839-4b1e-8934-4d142a928fe5;1;3;3;08.31.2021 19:08:59.542
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);e2a6a93c-8839-4742-92bd-2e644d2342b8;1;3;3;08.31.2021 19:08:59.587
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);ae49e5b6-f48c-4a0a-8180-b6b803dedf91;1;3;3;08.31.2021 19:08:59.630
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);cb072a53-6e49-421a-ac82-167dae6b2ea2;1;3;3;08.31.2021 19:08:59.667
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);959f64b4-1ec5-445c-8d44-529fddab752e;1;3;3;08.31.2021 19:08:59.708
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);1b45fdab-85e5-4682-97c1-d9720600cd1c;1;3;3;08.31.2021 19:08:59.742
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);844e73d0-c43a-44a9-87ce-e169d247bd28;1;3;3;08.31.2021 19:08:59.775
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);5a0d679a-3612-4d4a-b979-e8e914f528ea;1;3;3;08.31.2021 19:08:59.809
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);b6e8b42e-9756-4130-88a2-51c532e735a1;1;3;3;08.31.2021 19:08:59.842
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(3.5, 0.8, -55.9);(0.2, -1.0, 0.0, 0.1);(3.1, 0.9, -56.1);(-0.2, -1.0, 0.1, -0.1);(3.3, 1.7, -55.9);12dcfd6f-6a43-4a8f-8ba3-5da7f4728ee7;1;3;3;08.31.2021 19:08:59.886
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(4.6, 0.8, -62.4);(0.2, -1.0, 0.0, 0.1);(4.3, 0.9, -62.6);(-0.2, -1.0, 0.1, -0.1);(4.4, 1.7, -62.4);833a81d2-b8a6-44c0-b7f1-0353adf74923;1;3;3;08.31.2021 19:08:59.920
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(4.6, 0.8, -62.4);(0.2, -1.0, 0.0, 0.1);(4.3, 0.9, -62.6);(-0.2, -1.0, 0.1, -0.1);(4.4, 1.7, -62.4);11af2d17-e78c-41ed-a5e9-fd66e3edbee9;1;3;3;08.31.2021 19:08:59.964
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.1, -0.1);(0.0, -1.0, 0.0, -0.1);(4.6, 0.8, -62.4);(0.2, -1.0, 0.0, 0.1);(4.3, 0.9, -62.6);(-0.2, -1.0, 0.1, -0.1);(4.4, 1.7, -62.4);0e8c30f4-76ad-45d2-a438-eef9ab8c5f47;1;3;3;08.31.2021 19:08:59.997
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -1.0, 0.2, -0.1);(0.0, -1.0, 0.0, -0.1);(4.6, 0.8, -62.4);(0.2, -1.0, 0.0, 0.1);(4.3, 0.9, -62.6);(-0.2, -1.0, 0.2, -0.1);(4.4, 1.7, -62.4);d4674e4a-e43f-447f-acd4-ede1ef4b0fa6;1;3;3;08.31.2021 19:09:00.030
(1.2, 1.7, -0.4);(0.0, -1.0, 0.0, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -0.9, 0.2, -0.2);(0.0, -1.0, 0.0, -0.1);(4.6, 0.8, -62.4);(0.2, -1.0, 0.0, 0.1);(4.3, 0.9, -62.6);(-0.2, -0.9, 0.2, -0.2);(4.4, 1.7, -62.4);fd5d7339-4d84-4d4c-a8c0-886fa764c479;1;3;3;08.31.2021 19:09:00.065
(1.2, 1.7, -0.4);(0.0, -1.0, 0.1, -0.1);;;ConstructionSite;(1.4, 0.8, -0.3);(0.2, -1.0, 0.0, 0.1);(1.0, 0.9, -0.5);(-0.2, -0.9, 0.2, -0.2);(0.0, -1.0, 0.1, -0.1);(4.6, 0.8, -62.4);(0.2, -1.0, 0.0, 0.1);(4.3, 0.9, -62.6);(-0.2, -0.9, 0.2, -0.2);(4.4, 1.7, -62.4);b23bddb9-c08a-4de4-a1a0-c59e00431df0;1;3;3;08.31.2021 19:09:00.096
