inputActionName;inputActionControlPath;duration;startTime;time;value;valueType;phase;position;dataPointGuid;taskId;participantId;sessionId;pointInTimeUtc
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;16,1612868000011;16,1612868000011;1;System.Single;Performed;(3.1, 0.9, -56.1);4f3284be-7f9d-4292-b9c5-6f28976bc803;1;3;3;08.31.2021 19:08:59.644
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;16,7741328000047;16,7741328000047;1;System.Single;Performed;(4.3, 0.8, -62.6);2ccd7620-cae1-473c-b9b3-0c1ddb72f47c;1;3;3;08.31.2021 19:09:00.254
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;19,1155979000032;19,1155979000032;1;System.Single;Performed;(4.8, 0.9, -65.7);37c0b2c7-97bb-4165-8386-fe9ba4b9fada;1;3;3;08.31.2021 19:09:02.596
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;20,4935780000014;20,4935780000014;1;System.Single;Performed;(-3.3, 0.9, -65.4);80d47428-eb08-4d1d-bd44-6876aa7cfd73;1;3;3;08.31.2021 19:09:03.973
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;21,2178259000066;21,2178259000066;1;System.Single;Performed;(-11.0, 0.9, -63.8);b1b06d84-e4ca-4013-a086-c8ebd23c1514;1;3;3;08.31.2021 19:09:04.698
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;22,1365291000038;22,1365291000038;1;System.Single;Performed;(-17.3, 1.0, -63.7);a58a2443-ee39-4057-9c5b-b2d7c5caa10a;1;3;3;08.31.2021 19:09:05.617
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;22,8378681000031;22,8378681000031;1;System.Single;Performed;(-17.6, 1.0, -55.9);5a7da902-b469-4308-a190-ab11fe2a56c6;1;3;3;08.31.2021 19:09:06.318
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;23,827852500006;23,827852500006;1;System.Single;Performed;(-18.3, 1.0, -51.6);53e2d721-9ccb-4890-8fc0-0697a6611ca6;1;3;3;08.31.2021 19:09:07.308
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;26,5941311000061;26,5941311000061;1;System.Single;Performed;(-22.2, 1.0, -48.1);91a55756-9022-4a3c-a1ca-679ecb2f12b2;1;3;3;08.31.2021 19:09:10.074
Teleport Select;/HTCViveControllerOpenXR1/trackpadclicked;0;28,8710368000029;28,8710368000029;1;System.Single;Performed;(-24.7, 1.1, -40.1);50a2067e-4532-410b-a333-05670f46f90d;1;3;3;08.31.2021 19:09:12.351
